source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,gcns_prob,dist_50
2206919265165419520,14.430657,15.861745,13.260555,1.0,0.07058795
2206916271571543040,18.36948,20.660477,16.946789,1.0,0.085206516
2206933593176297728,12.977303,14.343447,11.829153,1.0,0.023579735
2014720028428527360,14.200609,15.643308,13.024221,1.0,0.064008124
2015083657538067840,17.291199,19.699486,15.8680725,1.0,0.07306899
2206950974907850496,18.569107,20.724773,17.054718,1.0,0.05398609
2207014785238196096,14.561176,15.950992,13.403123,1.0,0.09021525
2207013273409722752,13.350505,14.364827,12.347835,1.0,0.095238976
2206956408042940032,13.86624,15.211749,12.720751,1.0,0.07853259
2015174710840660736,20.29518,,,0.414,0.11073266
2013715379738530176,11.848114,13.078868,10.74117,1.0,0.04600578
2013737580431881728,9.019033,9.479369,8.393149,1.0,0.03980461
2010828788054715264,10.855568,11.808436,9.889364,1.0,0.033075858
2012017257049036800,16.836998,18.76698,15.534168,1.0,0.076062635
2012017355828594944,17.744785,18.080416,17.280495,1.0,0.046079744
2012045668254655744,19.910885,21.642565,18.291395,1.0,0.08449139
2012028939355948032,17.662462,19.616371,16.280548,1.0,0.08709006
2012266773172512128,20.906559,21.632252,19.207668,0.87,0.08181847
2012274645851486080,13.8279705,15.200543,12.671604,1.0,0.08148923
2012084155456961664,20.62496,20.94149,20.018522,0.972,0.108941995
2010837377997406848,16.547949,18.36676,15.270924,1.0,0.08981644
2010838610644440960,19.278246,19.574854,18.908928,1.0,0.08575808
2010839061624573568,10.466692,10.8941965,9.873351,1.0,0.09629506
2010851637281953920,19.934092,21.73722,18.44087,1.0,0.096145175
2012046222308890496,15.989925,17.720943,14.729192,1.0,0.0693318
2012307768634715136,15.243755,16.735674,14.0171385,1.0,0.052905265
2012307768639931648,14.901543,16.491175,13.59942,1.0,0.052838016
2012308387115307776,16.162825,17.831642,14.920671,1.0,0.09553562
2012118304739678592,17.34788,19.29043,16.006653,1.0,0.092392094
2012216715329963776,6.9505796,7.4073844,6.328899,1.0,0.06927924
2012218708194787328,11.390065,11.93716,10.693567,1.0,0.09648998
2012218708194786944,20.183968,20.46774,19.247015,1.0,0.089766584
527956488340229632,9.566636,10.725487,8.421021,0.986,0.009890859
2011319548203043584,17.753351,20.152702,16.303745,1.0,0.06410965
2011135345647025024,14.090553,15.312373,12.992424,1.0,0.09796058
2011334013652806528,13.161683,14.459692,12.036795,1.0,0.034276437
2011437470818846080,16.908625,18.670622,15.517056,1.0,0.07619864
2011344115416078336,13.682448,15.515327,12.394859,1.0,0.05036481
2011344905690057856,9.015841,9.469985,8.401368,1.0,0.050445884
2011704136754297984,11.230753,11.934436,10.42388,1.0,0.0689916
2011522167581154816,15.073268,16.52907,13.890111,1.0,0.09920616
2012136863298577664,14.893809,16.661198,13.626871,1.0,0.061514065
2011389057954829952,15.728998,17.892672,14.37521,1.0,0.06307041
2012163285937837952,15.099316,16.55961,13.884589,1.0,0.09931948
2012169672551177728,20.805319,22.194857,19.371698,0.95,0.11598286
2012179911750789120,12.029691,12.808955,11.169945,1.0,0.08102435
2012174246690069376,12.933727,,,0.996,0.074347906
2012174246695638144,10.984344,11.518937,10.203962,1.0,0.075439885
2011347654469117440,16.014988,15.933728,14.060963,1.0,0.056983657
2011347654469117312,10.660215,11.252344,9.928839,1.0,0.056361895
2011773612146461056,11.636844,12.326374,10.808363,1.0,0.076098226
2011711421019023488,16.501581,18.373856,15.211437,1.0,0.06559884
2011731624545076992,16.947165,18.950914,15.635046,1.0,0.07795597
2011791612348611456,12.206299,13.055665,11.297709,1.0,0.08178889
2011797522223612928,11.713461,12.373047,10.935834,1.0,0.08564574
2011736366188919296,10.159252,10.6179085,9.534531,1.0,0.06876427
2011803367680010624,14.738103,16.16403,13.566642,1.0,0.091872826
1999453790517766400,16.316135,18.522642,14.957342,1.0,0.050444618
2011481451284934912,20.259283,21.53972,18.54799,1.0,0.057774186
1999553055791725440,18.37293,20.642136,16.92911,1.0,0.089809276
2011565220332867584,10.040347,10.734092,9.234257,1.0,0.026725525
1999512786187109376,16.195433,17.680246,15.008729,1.0,0.08751368
1999563943535301760,7.519457,7.835605,7.029677,1.0,0.04950861
1999564768169857792,18.460096,18.987366,17.753485,1.0,0.049197327
2011533128338618880,6.328009,6.3090053,6.3302827,1.0,0.1010792
2011569545358440192,18.367886,20.646765,16.957346,1.0,0.099662445
2011744784325534336,15.250456,17.03887,13.983026,1.0,0.05027974
2011651944313813760,15.056272,16.519894,13.872178,1.0,0.086790726
2011657785469332736,17.769114,19.430977,16.541325,1.0,0.09880735
1999582158500111872,16.705688,18.53031,15.420736,1.0,0.081894375
2011596556414728448,16.43873,16.417576,16.503365,1.0,0.09783096
2011598957294969216,19.525486,19.951096,19.096172,1.0,0.09968671
2011642323587135104,15.42471,17.136795,14.171338,1.0,0.06290737
2011617550209874816,19.62348,21.671274,18.04676,1.0,0.062317606
2011606555100577152,15.243892,16.767988,14.016543,1.0,0.09070862
2013993590543021440,20.051321,20.521027,19.593668,1.0,0.09529938
2014078978792549632,16.81223,18.86539,15.44719,1.0,0.08002436
2014078978792548224,14.838481,16.277279,13.665984,1.0,0.063737184
2013920099367861376,17.407448,17.548252,17.149033,1.0,0.07066364
2013936763835564288,14.948113,15.094387,13.057449,1.0,0.047008798
2013936763840729728,10.130832,10.719479,9.402486,1.0,0.047435414
2014083789156726400,17.120071,19.167477,15.766441,1.0,0.06480555
2014164908194686080,12.248661,12.954255,11.437559,1.0,0.09386781
2014186829709548928,18.631628,21.07609,17.162596,1.0,0.08276035
2014169821637265792,12.1876955,13.038594,11.254515,1.0,0.07637581
2014178312797804672,13.89576,15.091173,12.807693,1.0,0.089045085
2014178347157543552,17.256893,19.216816,15.933565,1.0,0.088888995
2014175529658999808,13.750957,15.136688,12.591532,1.0,0.06438481
