source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,gcns_prob,dist_50
117219213811874560,13.626767,14.804673,12.538035,1.3924518,1.0,0.09065999
117226429356537856,14.947918,16.174664,13.850078,1.3913374,1.0,0.09704521
117228181702644608,20.325018,21.450155,18.81435,1.9495907,0.978,0.116633475
62944841667483648,12.147665,13.3797655,11.023806,1.4182471,1.0,0.048289888
62947354224986240,10.865924,12.108476,9.758611,1.3980905,1.0,0.020688858
62948174562104448,9.95505,10.978441,8.914446,1.3801856,1.0,0.020716762
62948174562535808,10.797814,11.7505865,9.490538,1.7047597,1.0,0.020723661
62766862519044864,16.051714,17.366682,14.920526,1.4091424,1.0,0.09924534
62960922025122688,17.946716,20.529175,16.489407,1.678365,1.0,0.08811042
68967146025652864,17.114258,19.389105,15.748826,1.5696533,0.998,0.06984409
68969001452570240,20.357502,20.91563,19.698881,1.2058046,0.988,0.1107115
68995454154764544,17.509483,20.07307,16.057001,1.6723984,1.0,0.076261505
68991404001811456,14.071927,15.409396,12.930584,1.4159229,1.0,0.056975514
69060363996700544,5.1460037,5.75186,4.4090886,1.2448839,1.0,0.066690594
69060875096446208,10.175435,10.579822,9.606279,1.210714,1.0,0.07762022
69067098505413248,8.962492,9.256663,8.493931,1.201188,1.0,0.10004662
69023083679564672,18.744364,20.606956,17.16186,1.9385066,1.0,0.04193015
69009541648361216,20.578737,22.317911,19.070192,1.8351518,0.848,0.102917835
69027275567598720,12.585179,13.610134,11.58152,1.3430579,1.0,0.047597494
68732469013606656,16.280443,18.928093,14.832133,1.6611494,1.0,0.037937745
68843068715951104,13.576484,14.752816,12.500531,1.3793814,1.0,0.091921225
68843068715041152,17.386833,19.25975,16.056404,1.5626634,1.0,0.09387094
68839980634816384,13.371906,14.412545,12.335469,1.3715262,1.0,0.09594547
68878768483539328,19.064142,19.522503,18.48805,1.1910375,1.0,0.075126655
68910997918688640,20.288883,21.61498,18.715982,2.0059495,0.99,0.11464924
68924501295605632,15.634724,17.166645,14.434683,1.4481307,1.0,0.08560438
69116748327393664,14.012529,15.397296,12.84997,1.4306688,1.0,0.057180386
69116748327393536,11.944057,12.874563,10.990493,1.3208642,1.0,0.056939717
68937115615092992,13.581611,15.090431,12.385278,1.4475998,1.0,0.05075998
69148634164702080,16.45125,17.85667,14.94144,1.8897166,0.86,0.10129769
69092112394903936,12.099167,12.981191,11.175472,1.3074292,1.0,0.06095969
117132318032317184,18.652058,18.878738,18.231787,1.2084672,1.0,0.09306434
117132318033338368,15.395212,16.845316,14.219901,1.4333469,1.0,0.09322274
117244090262233472,15.465716,17.209774,14.197558,1.4990458,1.0,0.08709378
69228997297025664,12.872594,14.311592,11.69562,1.4372137,1.0,0.041193034
69232540645552512,15.800287,17.541697,14.544465,1.484109,1.0,0.04817423
117280133627745280,9.052432,9.404025,8.522513,1.2103761,1.0,0.07279893
117288620483136896,8.352455,8.614956,7.9211593,1.1956935,1.0,0.0997638
69171036713940992,15.315096,16.759615,14.139236,1.4349587,1.0,0.07784875
69548272281668352,17.379282,19.624777,15.976045,1.624553,1.0,0.06383212
69241714694422784,19.708168,20.541975,18.261913,1.9312971,0.832,0.111521
69581120191598464,15.640659,17.40843,14.380221,1.4863124,1.0,0.06940565
69591462472837888,14.325629,15.732934,13.161863,1.4278728,1.0,0.09159594
69659730977217792,9.124899,9.461741,8.614978,1.2050366,1.0,0.09413071
111768655498729856,15.566075,17.327768,14.300668,1.493277,1.0,0.067176655
111774191712070144,13.3317795,14.720023,12.17626,1.4220839,1.0,0.034772273
111830232444535680,19.01933,21.112463,17.550661,1.7335807,1.0,0.08843536
3426953172824163456,20.288416,,,,0.558,0.100741915
114851999635497344,18.687218,19.02331,18.110415,1.2481829,1.0,0.06663802
114852515032351232,15.552196,17.119678,14.338171,1.458909,1.0,0.09024145
111846278442316288,17.114607,18.950321,15.834615,1.5021023,1.0,0.09392389
111846278443089024,17.198107,19.147322,15.890912,1.5235455,1.0,0.09756704
111974371546922624,18.342686,21.206182,16.787722,1.8146616,1.0,0.046035647
111690315294842112,11.263287,11.8657465,10.528737,1.2443787,1.0,0.08798779
111812090503460224,13.788616,15.27269,12.601993,1.4404864,1.0,0.049290303
111867233587696384,11.35752,12.199054,10.459655,1.2964894,1.0,0.0736443
111958153752089472,15.482239,16.959507,14.287682,1.4508582,1.0,0.078408934
111957672715748736,13.875769,15.176588,12.750824,1.4051334,1.0,0.07814837
111959253263711744,11.061625,11.594469,10.378903,1.2333536,1.0,0.08319357
111901043570350080,16.453325,18.284027,15.178413,1.4963336,1.0,0.07563858
114880655658104960,7.8873196,8.0915,7.527878,1.1870162,1.0,0.10044078
114881201117858176,8.911363,9.201642,8.455206,1.1958123,1.0,0.0937371
114883885473511040,16.817137,18.522526,15.574554,1.4728076,1.0,0.08720153
114896358058486400,15.191555,16.50146,14.059151,1.411489,1.0,0.09999993
114903397509127808,13.440695,14.504335,12.414565,1.3553659,1.0,0.09284594
