GaiaEDR3,Gmag,BPmag,WDprob,Dist50,Abs_V,BV_Color
3.20903E+17,17.5302,17.6285,1,0.09758,12.58339593,0.0983
4.03535E+17,17.5926,17.8854,1,0.04737,14.21508308,0.2928
2.79108E+18,19.6211,20.2013,0.999,0.09654,14.69756353,0.5802
4.91011E+18,20.5148,21.036,0.964,0.11277,15.2538321,0.5212
4.04171E+17,16.2174,16.1744,1,0.09654,11.29386353,-0.043
2.35471E+18,17.5353,17.5844,1,0.09911,12.55471262,0.0491
4.92905E+18,19.1584,19.6357,0.999,0.08326,14.55621797,0.4773
3.13994E+17,20.4929,20.9673,0.695,0.11112,15.26393884,0.4744
2.48272E+18,18.7948,18.9502,0.999,0.09137,13.99078188,0.1554
2.53847E+18,19.4266,19.811,0.999,0.10491,14.32251556,0.3844
2.57987E+18,19.3971,19.7711,0.997,0.09294,14.55608666,0.374
2.57662E+18,18.4603,18.5697,0.988,0.08986,13.69246793,0.1094
3.69872E+17,19.7991,20.5252,1,0.10339,14.72670732,0.7261
3.70387E+17,17.2706,17.389,1,0.08418,12.64455539,0.1184
2.94798E+17,19.435,20.0346,0.869,0.08199,14.86619557,0.5996
3.07247E+17,18.9036,19.269,0.999,0.08394,14.28375518,0.3654
4.7104E+18,19.1355,19.2931,0.999,0.08393,14.51591388,0.1576
2.78402E+18,19.8231,20.1025,0.989,0.11228,14.57158798,0.2794
2.78426E+18,18.5408,18.9804,0.999,0.06225,14.57010322,0.4396
2.35821E+18,18.4397,18.6744,0.99,0.08083,13.90183711,0.2347
3.97957E+17,19.1774,20.0153,0.951,0.05713,15.39307888,0.8379
3.13996E+17,18.7039,19.0826,0.999,0.08492,14.05885007,0.3787
2.94776E+17,20.3552,20.6848,0.994,0.11638,15.02580824,0.3296
3.73718E+17,19.7776,20.3948,0.999,0.10402,14.69201575,0.6172
2.78707E+18,20.6301,20.747,0.799,0.11231,15.37800786,0.1169
4.13331E+17,18.0194,18.137,1,0.07523,13.63744469,0.1176
4.04127E+17,18.6282,18.9283,0.999,0.08097,14.0865793,0.3001
2.94024E+17,19.1857,19.9337,0.997,0.06388,15.15887546,0.748
3.0966E+17,19.376,19.8214,0.998,0.09682,14.44617461,0.4454
2.53358E+18,17.3785,17.8012,0.946,0.034,14.72110541,0.4227
4.01529E+17,18.9828,19.1825,0.999,0.10002,13.98236575,0.1997
2.53206E+18,17.8475,17.9866,1,0.09661,12.92238959,0.1391
2.59092E+18,18.4262,18.7249,0.995,0.07535,14.04078372,0.2987
2.53527E+18,18.2744,18.3762,0.986,0.10258,13.21908653,0.1018
2.46901E+18,17.6805,17.7912,1,0.08915,12.92989326,0.1107
2.58385E+18,16.7121,16.7496,1,0.0763,12.29947731,0.0375
2.35431E+18,20.1008,20.6445,0.983,0.09882,15.12657575,0.5437
2.35342E+18,20.0686,20.4987,0.999,0.09644,15.14731399,0.4301
2.35342E+18,19.6649,20.007,0.999,0.10816,14.49456661,0.3421
2.4715E+18,19.5196,19.883,0.977,0.0908,14.72917076,0.3634
4.70593E+18,18.4898,18.8107,1,0.08338,13.88449055,0.3209
4.70621E+18,19.2692,19.5652,0.987,0.07185,14.98706614,0.296
2.57687E+18,18.9142,19.3495,0.999,0.07366,14.57804143,0.4353
2.45485E+18,18.4805,18.6406,0.994,0.09594,13.57050143,0.1601
2.58365E+18,18.6376,18.929,0.999,0.088,13.91518664,0.2914
2.47053E+18,18.5417,19.0633,0.999,0.052,14.96168328,0.5216
3.09772E+17,18.9599,19.2976,0.998,0.10462,13.86182642,0.3377
4.70954E+18,17.1979,17.5058,1,0.04329,14.01596207,0.3079
2.47057E+18,19.6111,19.9972,0.998,0.10541,14.49669093,0.3861
2.47152E+18,19.0499,19.3227,0.957,0.09652,14.12681343,0.2728
2.78748E+18,20.6266,20.9204,0.923,0.11777,15.27142662,0.2938
4.71679E+18,15.099,14.9703,0.992,0.09729,10.15865898,-0.1287
2.78577E+18,20.2291,20.5562,0.846,0.11655,14.89653861,0.3271
2.94763E+17,19.2298,19.6915,0.999,0.10052,14.2185376,0.4617
2.7907E+18,19.4742,19.8892,0.998,0.10423,14.38423631,0.415
5.01302E+18,19.1326,19.4618,0.999,0.07372,14.79467337,0.3292
4.93514E+18,20.2579,20.6177,0.999,0.10948,15.06122606,0.3598
2.93138E+17,17.6952,17.8023,0.994,0.08844,12.96195633,0.1071
2.78751E+18,18.035,18.2587,1,0.07442,13.67655167,0.2237
3.21844E+17,19.6807,20.0965,0.999,0.09247,14.85069571,0.4158
4.03881E+17,19.6384,20.0907,0.986,0.09845,14.6723214,0.4523
4.98848E+18,20.167,20.7117,0.998,0.10763,15.0073333,0.5447
5.03045E+18,17.288,17.2326,0.924,0.09386,12.42559725,-0.0554
5.01384E+18,18.6142,18.7728,0.99,0.09478,13.73061648,0.1586
2.48281E+18,17.9531,18.4125,1,0.04132,14.87229844,0.4594
2.48281E+18,17.8665,18.2961,0.985,0.04244,14.72762312,0.4296
3.7207E+17,20.073,20.5738,0.979,0.10944,14.87711958,0.5008
5.31944E+17,18.9474,19.25,0.999,0.09267,14.11270418,0.3026
4.93378E+18,19.1268,19.4479,0.999,0.06904,14.93129609,0.3211
3.73269E+17,19.6802,19.9052,0.903,0.11492,14.37822191,0.225
5.02837E+18,18.1137,18.2594,1,0.09433,13.24045083,0.1457
4.91051E+18,20.1208,20.7725,0.975,0.08669,15.43095499,0.6517
4.98543E+18,16.0289,16.0631,1,0.06917,11.82931112,0.0342
2.35839E+18,18.2135,18.5525,0.994,0.04704,14.85116343,0.339
5.0396E+18,18.7689,19.3454,0.999,0.05709,14.98609978,0.5765
3.97531E+17,16.7561,16.858,1,0.06891,12.56468875,0.1019
2.56474E+18,19.1497,19.4095,0.99,0.08356,14.53970784,0.2598
5.01421E+18,20.2451,20.8029,0.985,0.11289,14.98182263,0.5578
2.59175E+18,13.7827,13.8309,0.9,0.01676,12.66132993,0.0482
2.59181E+18,20.0917,20.3534,0.96,0.09384,15.22976,0.2617
5.10956E+17,18.9312,19.263,0.999,0.09005,14.15878141,0.3318
2.53331E+18,16.6863,16.509,1,0.10012,11.6836958,-0.1773
4.98548E+18,16.5562,16.5352,0.967,0.09429,11.68387182,-0.021
5.31815E+17,17.7735,17.8391,1,0.09123,12.97281163,0.0656
2.58056E+18,17.292,17.4562,0.968,0.06873,13.10626828,0.1642
2.48331E+18,18.153,18.2534,0.947,0.09429,13.28067182,0.1004
2.5901E+18,19.4051,19.9494,0.996,0.0856,14.74273118,0.5443
4.68613E+18,20.0913,20.6431,0.999,0.10716,14.94113648,0.5518
4.09957E+17,15.6619,15.6989,0.967,0.05457,11.97713023,0.037
2.47237E+18,19.4143,19.8428,0.999,0.08449,14.78027345,0.4285
3.08636E+17,20.4832,20.7411,0.937,0.11116,15.25345731,0.2579
5.04133E+18,19.8648,20.1513,0.999,0.10775,14.70271361,0.2865
2.78593E+18,18.5452,18.811,0.999,0.09459,13.66597387,0.2658
3.1042E+17,19.3799,19.8669,0.997,0.08314,14.7808499,0.487
3.1042E+17,19.4498,19.9398,0.998,0.07927,14.95425571,0.49
5.02881E+18,18.6581,18.7828,1,0.09992,13.65983787,0.1247
5.10991E+17,15.6137,15.539,0.993,0.08037,11.08823016,-0.0747
2.48329E+18,18.3276,18.3632,0.996,0.09315,13.4816857,0.0356
4.98498E+18,18.1735,18.3783,1,0.09025,13.39626395,0.2048
2.45616E+18,16.7107,17.1895,0.902,0.0254,14.68653142,0.4788
4.91519E+18,18.0615,18.3054,1,0.06855,13.8814627,0.2439
4.90946E+18,18.4312,18.4065,1,0.10247,13.37821632,-0.0247
2.45146E+18,20.462,20.9339,1,0.10491,15.35791556,0.4719
2.92791E+17,19.244,19.5913,0.999,0.09338,14.39273065,0.3473
3.103E+17,19.8918,20.272,0.957,0.0953,14.9963355,0.3802
4.9307E+18,17.4783,17.5604,1,0.08302,12.88238635,0.0821
4.03691E+17,18.3474,18.8,0.983,0.05148,14.78920731,0.4526
4.6376E+18,20.7577,21.3625,0.772,0.11715,15.41398854,0.6048
2.5933E+18,20.6929,20.8925,0.794,0.11329,15.42194212,0.1996
2.35317E+18,19.8658,20.4019,0.999,0.09947,14.87733941,0.5361
5.04046E+18,18.9112,19.4431,0.999,0.0683,14.73909648,0.5319
4.70464E+18,17.4166,17.6434,1,0.04998,13.92261874,0.2268
2.45471E+18,18.5668,18.8503,0.976,0.08255,13.98321461,0.2835
4.63191E+18,16.5674,16.5706,0.994,0.09675,11.63914513,0.0032
4.71559E+18,19.8337,20.4328,0.999,0.09219,15.01028093,0.5991
5.04002E+18,20.8659,21.2368,0.914,0.11337,15.59340927,0.3709
4.98416E+18,16.7042,16.8624,1,0.04477,13.44926453,0.1582
3.72517E+17,18.6236,18.9648,0.999,0.07159,14.34933819,0.3412
5.60092E+17,16.9962,17.0588,1,0.09233,12.16948582,0.0626
4.71226E+18,19.4348,20.0242,0.997,0.07056,15.19200714,0.5894
2.58961E+18,18.374,18.8472,0.983,0.05153,14.81369929,0.4732
4.68737E+18,16.8442,17.3396,0.993,0.04325,13.66426944,0.4954
4.93034E+18,18.6704,18.9325,1,0.10194,13.62867685,0.2621
2.45451E+18,15.8376,15.803,0.994,0.07781,11.38242292,-0.0346
2.45451E+18,18.8026,19.1183,0.999,0.07834,14.33268216,0.3157
