source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,gcns_prob,dist_50
4043157418045374592,15.547161,16.854698,14.244181,1.0,0.07205498
4043157417889630976,14.880649,16.157623,13.71096,1.0,0.07240765
4043214455055958912,13.682979,15.249462,12.471325,1.0,0.047783166
4043173601327874432,15.107838,16.46204,13.95826,1.0,0.098800674
4042397552529140992,15.573599,,,1.0,0.100660555
4042476755789286016,15.337874,16.991522,14.029677,1.0,0.07200161
4043157456555273344,16.100338,17.455868,14.862133,1.0,0.0932088
4042493763865573632,15.252173,,,0.964,0.091740444
4043319561519878656,16.452229,18.258999,15.210938,1.0,0.090116024
6028924865608229120,12.904599,13.049372,11.478465,0.994,0.085360035
6028886932582994688,18.126446,18.238974,17.983637,1.0,0.09385995
5980777560760176640,17.038435,,,0.998,0.069386415
5980497975556687232,15.997019,15.963281,16.011457,1.0,0.075536944
4057051396569056384,16.377203,18.49741,15.00602,1.0,0.061578542
4056281635466135296,16.990423,18.580088,15.628217,1.0,0.097441174
4062246967314875776,17.690584,18.115177,15.960022,0.488,0.10569856
4060209301357866752,20.04433,20.639284,18.77965,0.952,0.10918945
4060220914950779776,19.373625,19.721601,18.023544,0.996,0.08350282
4061255688525042304,18.80984,19.191433,18.5159,1.0,0.08451619
4063417332766504576,5.7303596,5.8238635,5.54271,1.0,0.049624298
4057705541565339392,19.06358,21.702858,17.534636,0.994,0.07387226
4063585111339291776,15.587913,17.510973,14.242672,1.0,0.04977623
4038992403513261184,12.996179,14.226659,11.890767,1.0,0.05118175
4042152189551442688,16.753012,17.97545,15.420508,0.918,0.065985605
4042180300005971200,14.455662,16.355673,13.123086,1.0,0.05171412
4045770716508570880,15.436285,17.210194,14.172167,1.0,0.06316625
4045772335818307968,18.54374,20.42819,16.972694,1.0,0.06942061
5973703573443047424,20.339092,22.33652,18.776922,0.922,0.048717063
5973900081081060608,15.655848,17.154009,14.463154,1.0,0.082964495
5974066343551468544,7.7037897,8.050538,7.178898,1.0,0.031135
5974126236893771648,13.970864,15.1130495,12.889651,1.0,0.090323776
5962052671538693888,15.465751,16.932823,14.290486,1.0,0.09217585
5962052671539189248,11.827785,12.496336,11.043898,1.0,0.09199481
5962138021108509312,13.092356,14.337322,11.985536,1.0,0.05656884
5962157915418494720,14.711122,16.046984,13.567926,1.0,0.06869632
5974322293543549440,13.648516,15.266223,12.425438,1.0,0.028406182
5974338511340306560,14.089303,15.66387,12.875278,1.0,0.052811947
5973719726815674496,16.328815,18.23671,15.020215,1.0,0.062069345
5973719761175412736,15.568753,17.283392,14.313642,1.0,0.062070906
5973738860896820480,20.380592,21.705978,18.863699,0.692,0.0909562
5975243645628596096,17.695177,19.834631,16.305145,1.0,0.07995299
5975244027883175168,17.070793,19.095243,15.717899,1.0,0.07766848
5975241038587640448,16.950653,18.842583,15.615383,1.0,0.08798196
5975185753766777856,14.839129,16.240164,13.675656,1.0,0.08684487
5975186578400654592,16.427998,18.035547,15.216814,1.0,0.099276364
5974437256938258304,20.454624,21.156082,18.886467,0.99,0.1084504
5974444236252841472,19.38659,,,0.45,0.09471555
5974140736696436992,15.376142,16.80547,14.017188,1.0,0.06730406
5974348613103841536,16.028797,17.662167,14.778274,1.0,0.096392386
